"customer_id","r_score","f_score","m_score","rfm_cell","total_spend","customer_segment"
"14646",5,5,5,"555",280206.02,"Champions"
"18102",5,5,5,"555",259657.30,"Champions"
"17450",5,5,5,"555",194550.79,"Champions"
"16446",2,3,5,"235",168472.50,"At Risk / Don't Lose Them"
"14911",5,5,5,"555",143825.06,"Champions"
"12415",4,5,5,"455",124914.53,"Champions"
"14156",5,5,5,"555",117379.63,"Champions"
"17511",5,5,5,"555",91062.38,"Champions"
"16029",4,5,5,"455",81024.84,"Champions"
"12346",1,1,5,"115",77183.60,"Lost / Hibernating"
"16684",5,5,5,"555",66653.56,"Champions"
"14096",5,5,5,"555",65164.79,"Champions"
"13694",4,5,5,"455",65039.62,"Champions"
"15311",5,5,5,"555",60767.90,"Champions"
"13089",5,5,5,"555",58825.83,"Champions"
"17949",5,5,5,"555",58510.48,"Champions"
"15769",4,5,5,"455",56252.72,"Champions"
"15061",5,5,5,"555",54534.14,"Champions"
"14298",3,5,5,"355",51527.30,"Loyal Customers"
"14088",5,5,5,"555",50491.81,"Champions"
"15749",4,4,5,"445",44534.30,"Champions"
"12931",4,5,5,"455",42055.96,"Champions"
"17841",5,5,5,"555",40991.57,"Champions"
"15098",3,4,5,"345",39916.50,"Loyal Customers"
"13798",5,5,5,"555",37153.85,"Champions"
"16013",5,5,5,"555",37130.60,"Champions"
"16422",4,5,5,"455",34684.40,"Champions"
"12748",5,5,5,"555",33719.73,"Champions"
"15838",5,5,5,"555",33643.08,"Champions"
"17404",5,5,5,"555",31906.82,"Champions"
"17389",5,5,5,"555",31833.68,"Champions"
"13098",5,5,5,"555",28882.44,"Champions"
"14680",4,5,5,"455",28754.11,"Champions"
"13081",5,5,5,"555",28337.38,"Champions"
"13408",5,5,5,"555",28117.04,"Champions"
"17857",5,5,5,"555",26879.04,"Champions"
"16333",2,5,5,"255",26626.80,"At Risk / Don't Lose Them"
"13777",4,5,5,"455",25977.16,"Champions"
"12753",4,5,5,"455",21429.39,"Champions"
"12744",3,5,5,"355",21279.29,"Loyal Customers"
"16210",5,5,5,"555",21086.30,"Champions"
"17675",5,5,5,"555",20374.28,"Champions"
"17381",5,5,5,"555",20275.61,"Champions"
"15039",5,5,5,"555",19914.44,"Champions"
"12471",5,5,5,"555",19824.05,"Champions"
"12731",4,5,5,"455",18895.91,"Champions"
